C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_05_776.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_05_776.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_05_776.jpg,0,0,0,0.0002088817
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_05_844.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_05_844.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_05_844.jpg,0,0,0,0.0002750803
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_05_914.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_05_914.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_05_914.jpg,0,0,0,0.0002726507
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_05_985.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_05_985.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_05_985.jpg,0,0,0,5.097556E-05
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_055.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_055.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_055.jpg,0,0,0,7.914659E-05
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_122.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_122.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_122.jpg,0,0,0,8.346757E-05
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_193.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_193.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_193.jpg,-0.04694836,0.1136136,0,0.01002223
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_262.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_262.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_262.jpg,-0.1173709,0.2947998,0,0.2013652
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_330.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_330.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_330.jpg,-0.1596244,0.4779522,0,0.4830563
C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\center_2024_01_09_20_23_06_400.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\left_2024_01_09_20_23_06_400.jpg,C:\Users\User\Self-Driving-Car\jungle_mouse_data\IMG\right_2024_01_09_20_23_06_400.jpg,-0.1690141,0.4550706,0,0.9813095
